la	lb
gela1264	geee1239
gend1249	fait1240
gera1246	dulb1238
geru1240	geji1246
gese1240	band1353
gese1240	bati1253
ghan1235	awut1241
ghan1235	gaaa1244
ghan1242	bilu1245
ghan1244	adam1238
ghan1244	gaaa1244
gheg1238	balk1252
gher1238	aerr1238
ghod1238	andi1255
ghod1238	botl1242
ghot1243	emai1241
ghot1243	enwa1246
ghul1238	dill1242
giba1240	bari1241
giba1240	cent2018
giiw1236	beel1236
giiw1236	bure1242
giky1238	adel1244
gilb1244	chin1253
gimn1238	doya1240
gimn1238	gimm1241
ginu1240	ghay1237
giny1241	adel1244
giri1245	east2652
giry1241	chon1287
giry1241	cutc1238
gito1238	chop1243
gitx1241	babi1235
gizr1240	agob1244
gizr1240	bine1240
glav1244	cine1238
glio1241	daho1238
glio1241	glar1241
gnau1240	auuu1241
godi1239	egaa1242
godi1239	gabo1234
gofa1235	dawr1236
gofa1235	gamo1243
gogo1265	dibi1240
goka1239	baan1241
goli1247	dadi1250
goli1247	domm1246
gone1237	fiji1243
gong1251	assa1263
gong1251	chal1267
goon1238	buna1275
gora1261	gale1259
goro1259	bobo1255
goro1259	buol1237
goro1261	bana1292
goro1270	alag1248
gorr1238	bedj1245
goth1244	crim1257
goun1238	besm1235
gour1243	bial1238
gree1271	arva1236
gres1240	else1239
grom1238	ahom1240
gron1242	dren1238
gros1243	assi1247
gros1243	crow1244
guaa1238	cher1271
guah1255	cuib1242
guaj1256	aura1243
guam1236	colo1254
guan1269	cacu1241
guan1269	cube1242
guan1270	boro1282
guan1270	guac1239
guan1279	biao1253
guar1292	chap1269
guar1293	bare1276
guar1294	ando1256
guar1294	cabi1241
guat1249	cakc1235
guat1253	guac1239
guay1257	acha1250
guda1242	djin1251
guda1244	atam1239
gudu1250	gaan1243
gudu1252	cine1238
gudu1252	dghw1239
guen1235	chan1296
guer1241	coat1240
guev1238	coat1238
gugu1253	gudj1237
gugu1255	barr1247
guib1244	buna1273
guib1244	cent2009
guib1244	east2363
guib1244	ennn1243
guib1245	buna1273
guib1245	cent2009
guib1245	east2363
guib1245	ennn1243
guib1245	guib1244
guib1246	daho1238
guib1246	dalo1238
guib1246	gagn1235
guil1236	chic1274
guin1250	baga1273
guin1250	bull1247
guja1253	gowr1239
gula1265	bong1282
gula1266	bayg1239
gula1268	bedj1245
gula1269	disa1239
gula1269	gula1265
gule1241	gaam1241
gulf1241	elam1244
gull1241	amer1248
gull1241	caro1243
guma1253	dhuw1249
guma1254	bose1237
guma1255	baim1245
guma1255	bauu1244
gumu1244	awng1244
gumu1244	boro1277
gung1250	alur1250
gunn1250	defi1235
gunn1250	eden1244
gunt1241	blaf1238
guny1241	bidy1243
